Atualizando 925 pesquisadores…
  50/925 — ok: 0, falhou: 50
  100/925 — ok: 10, falhou: 90
  150/925 — ok: 49, falhou: 101
  200/925 — ok: 84, falhou: 116
  250/925 — ok: 124, falhou: 126
  300/925 — ok: 166, falhou: 134
  350/925 — ok: 204, falhou: 146
  400/925 — ok: 242, falhou: 158
  450/925 — ok: 285, falhou: 165
  500/925 — ok: 316, falhou: 184
  550/925 — ok: 356, falhou: 194
  600/925 — ok: 389, falhou: 211
  650/925 — ok: 424, falhou: 226
  700/925 — ok: 446, falhou: 254
  750/925 — ok: 484, falhou: 266
  800/925 — ok: 493, falhou: 307
  850/925 — ok: 530, falhou: 320
  900/925 — ok: 573, falhou: 327
Concluído: 594 atualizados, 331 falhou, 0 sem nota.
