autor,campus,grau,degree_cent,betweenness,closeness,eigenvector,pagerank
SERGIO DANIEL CARVALHO CANUTO,CÂMPUS ANÁPOLIS,4,0.004962779156327543,0.001741596412003144,0.12370495482449942,2.0111253445612024e-07,0.0019468730630846666
DANIEL XAVIER DE SOUSA,CÂMPUS ANÁPOLIS,6,0.007444168734491315,0.00785144350962823,0.13156703735555,2.0116419770254415e-07,0.0020942621844533688
Wellington Santos Martins,REITORIA,2,0.0024813895781637717,0.0,0.1108995591102446,6.980879468813889e-09,0.0010935689952241204
JOSE LUIZ FERRAZ BARBOSA,CÂMPUS GOIÂNIA,11,0.013647642679900745,0.0029725636741452857,0.14484840373582966,0.07222623045243771,0.0012886535619518061
WESLEY PACHECO CALIXTO,CÂMPUS INHUMAS,47,0.05831265508684864,0.0471004830428677,0.1706586603053313,0.601606772027993,0.016487334227979527
THIAGO MARTINS PEREIRA,CÂMPUS VALPARAÍSO DE GOIÁS,8,0.009925558312655087,0.0002852402751964329,0.14775614120859354,0.058126253430201474,0.0010949917689608243
ELDER GERALDO DOMINGUES,CÂMPUS GOIÂNIA,31,0.038461538461538464,0.01537479086012921,0.1609817820377143,0.40568827344295894,0.007835421328977498
RODRIGO ALVES DE LIMA,CÂMPUS GOIÂNIA,8,0.009925558312655087,5.858677276459998e-05,0.14775614120859354,0.0745054470945807,0.0013155959417853723
Aylton  José Alves,CÂMPUS GOIÂNIA,30,0.03722084367245657,0.018802304902081537,0.16046185702507737,0.4391223952482659,0.008068994404731272
VIVIANE MARGARIDA GOMES PACHECO,CÂMPUS INHUMAS,17,0.02109181141439206,0.010625539220965987,0.14953499618175944,0.20613788938684732,0.00395279344985513
LUCIANO EDUARDO BRAGA DOS SANTOS,CÂMPUS GOIÂNIA,5,0.006203473945409429,0.00012568410685020583,0.138056276433177,0.01520841484077279,0.00046786886562438757
SERGIO BOTELHO DE OLIVEIRA,CÂMPUS GOIÂNIA,17,0.02109181141439206,0.016188669105426955,0.14981681863969717,0.04389449259577773,0.0027301532629822023
LICINIO DE MORAES SANTOS,CÂMPUS GOIÂNIA,6,0.007444168734491315,0.0003694001644335585,0.14803129230954062,0.04164934616532679,0.0007421759983225597
ANA CLARA DE OLIVEIRA FERRAZ BARBOSA,CÂMPUS GOIÂNIA,3,0.0037220843672456576,0.0004216411104820759,0.13815224881860153,0.007725104742261492,0.000298463689330127
