Comunidade,Membros,Campus dominante,% campus,Área dominante,% área,N° campus únicos,N° áreas únicas
C01,67,CÂMPUS GOIÂNIA,31%,Indefinido,21%,12,11
C02,64,CÂMPUS GOIÂNIA OESTE,36%,Enfermagem,28%,12,14
C03,55,CÂMPUS GOIÂNIA,31%,Artes,13%,11,13
C04,49,CÂMPUS GOIÂNIA,51%,Ciência da Computação,20%,10,13
C05,49,CÂMPUS GOIÂNIA,57%,Engenharia Elétrica,18%,9,11
C06,47,CÂMPUS JATAÍ,68%,Indefinido,17%,8,13
C07,36,CÂMPUS LUZIÂNIA,22%,Química,25%,13,11
C08,33,CÂMPUS URUAÇU,33%,Química,33%,10,14
C09,32,CÂMPUS ITUMBIARA,72%,Engenharia Elétrica,44%,5,5
C10,31,CÂMPUS ITUMBIARA,87%,Química,26%,4,6
C11,27,CÂMPUS GOIÂNIA,48%,Geociências,30%,8,8
C12,24,CÂMPUS GOIÂNIA,88%,Engenharia Sanitária,25%,3,10
C13,21,CÂMPUS GOIÂNIA,81%,Engenharia Mecânica,38%,5,5
C14,14,CÂMPUS LUZIÂNIA,43%,Letras,36%,4,8
C15,8,CÂMPUS JATAÍ,62%,Engenharia Elétrica,50%,3,3
C16,8,CÂMPUS SENADOR CANEDO,75%,Engenharia de Produção,25%,3,3
C17,8,CÂMPUS INHUMAS,50%,Química,50%,5,4
C18,7,CÂMPUS GOIÂNIA,57%,Física,29%,3,5
C19,6,CÂMPUS ITUMBIARA,67%,Letras,50%,3,4
C20,6,CÂMPUS LUZIÂNIA,50%,Ciência da Computação,83%,4,2
C21,5,CÂMPUS ANÁPOLIS,80%,Engenharia Civil,20%,2,4
C22,5,CÂMPUS FORMOSA,60%,Letras,40%,3,4
C23,5,CÂMPUS FORMOSA,80%,Ciência da Computação,40%,2,4
C24,4,CÂMPUS APARECIDA DE GOIÂNIA,50%,Engenharia Civil,50%,3,3
C25,4,CÂMPUS APARECIDA DE GOIÂNIA,100%,Artes,75%,1,2
C26,4,CÂMPUS GOIÂNIA,50%,Engenharia Civil,50%,3,2
C27,4,CÂMPUS FORMOSA,50%,Ciência da Computação,75%,2,2
C28,4,REITORIA,50%,Indefinido,75%,3,2
C29,4,CÂMPUS GOIÂNIA,75%,Sociologia,75%,2,2
C30,4,CÂMPUS INHUMAS,25%,Química,75%,4,2
C31,3,CÂMPUS ÁGUAS LINDAS DE GOIÁS,33%,Indefinido,67%,3,2
C32,3,CÂMPUS GOIÂNIA,67%,Física,67%,2,2
C33,3,CÂMPUS GOIÂNIA,67%,Engenharia de Transportes,33%,2,2
C34,3,CÂMPUS URUAÇU,67%,Engenharia Civil,67%,2,2
C35,3,CÂMPUS APARECIDA DE GOIÂNIA,100%,Ciência e Tecnologia de Alimentos,67%,1,2
C36,3,CÂMPUS LUZIÂNIA,67%,Desconhecida,100%,2,1
C37,3,CÂMPUS GOIÂNIA OESTE,33%,Artes,33%,3,2
C38,3,CÂMPUS FORMOSA,33%,Engenharia Civil,33%,3,2
C39,3,CÂMPUS CIDADE DE GOIÁS,33%,Química,33%,3,2
C40,3,CÂMPUS GOIÂNIA OESTE,100%,Educação Física,33%,1,3
C41,3,CÂMPUS JATAÍ,33%,Indefinido,67%,3,2
C42,3,CÂMPUS GOIÂNIA,100%,Engenharia Mecânica,67%,1,2
C43,3,CÂMPUS ITUMBIARA,67%,Engenharia Elétrica,67%,2,2
C44,3,CÂMPUS ANÁPOLIS,67%,Educação Física,100%,2,1
C45,3,REITORIA,33%,Indefinido,67%,3,2
C46,3,CÂMPUS GOIÂNIA,67%,Educação Física,67%,2,2
C47,3,CÂMPUS GOIÂNIA OESTE,67%,Educação,67%,2,2
C48,3,CÂMPUS APARECIDA DE GOIÂNIA,67%,Administração,33%,2,3
C49,3,CÂMPUS ANÁPOLIS,33%,Química,67%,3,2
C50,3,CÂMPUS GOIÂNIA,67%,Indefinido,67%,2,2
C51,3,CÂMPUS ÁGUAS LINDAS DE GOIÁS,33%,Biologia Geral,67%,3,2
C52,3,REITORIA,33%,Filosofia,33%,3,3
C53,3,CÂMPUS JATAÍ,33%,Biologia Geral,33%,3,2
